,Index,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,FAO_Item,FAO_Value,Population_value,No,Index
60,23,1999-0125-IND,1999,Heat wave,India,IND,Southern Asia,Asia,,,,,47.0,1999,4,,1999,4,,140.0,,,,,61.473667176908,"Orissa, Andhra Pradesh, Gujurat, Uttar Pradesh",IN,IN,20.593684,78.96288,India,23,Millions,...,,"Cereals, Total",23137,1038058.0,23,23
61,23,1999-0125-IND,1999,Heat wave,India,IND,Southern Asia,Asia,,,,,47.0,1999,4,,1999,4,,140.0,,,,,61.473667176908,"Orissa, Andhra Pradesh, Gujurat, Uttar Pradesh",IN,IN,20.593684,78.96288,India,23,Millions,...,,Fruit Primary,122513,1038058.0,23,23
62,23,1999-0125-IND,1999,Heat wave,India,IND,Southern Asia,Asia,,,,,47.0,1999,4,,1999,4,,140.0,,,,,61.473667176908,"Orissa, Andhra Pradesh, Gujurat, Uttar Pradesh",IN,IN,20.593684,78.96288,India,23,Millions,...,,"Milk, Total",7851,1038058.0,23,23
63,23,1999-0125-IND,1999,Heat wave,India,IND,Southern Asia,Asia,,,,,47.0,1999,4,,1999,4,,140.0,,,,,61.473667176908,"Orissa, Andhra Pradesh, Gujurat, Uttar Pradesh",IN,IN,20.593684,78.96288,India,23,Millions,...,,Vegetables Primary,129933,1038058.0,23,23
64,24,2000-0398-CYP,2000,Heat wave,Cyprus,CYP,Western Asia,Asia,,,,,43.0,2000,7,,2000,7,,5.0,400.0,,,400.0,63.5495473431008,Nicosia province,CY,CY,35.126413,33.429859,Cyprus,24,Millions,10594.981,750.51672363,"Cereals, Total",9314,943.0,24,24
65,24,2000-0398-CYP,2000,Heat wave,Cyprus,CYP,Western Asia,Asia,,,,,43.0,2000,7,,2000,7,,5.0,400.0,,,400.0,63.5495473431008,Nicosia province,CY,CY,35.126413,33.429859,Cyprus,24,Millions,10594.981,750.51672363,Fruit Primary,101052,943.0,24,24
66,24,2000-0398-CYP,2000,Heat wave,Cyprus,CYP,Western Asia,Asia,,,,,43.0,2000,7,,2000,7,,5.0,400.0,,,400.0,63.5495473431008,Nicosia province,CY,CY,35.126413,33.429859,Cyprus,24,Millions,10594.981,750.51672363,"Milk, Total",5460,943.0,24,24
67,24,2000-0398-CYP,2000,Heat wave,Cyprus,CYP,Western Asia,Asia,,,,,43.0,2000,7,,2000,7,,5.0,400.0,,,400.0,63.5495473431008,Nicosia province,CY,CY,35.126413,33.429859,Cyprus,24,Millions,10594.981,750.51672363,Vegetables Primary,320357,943.0,24,24
68,25,2000-0379-GRC,2000,Heat wave,Greece,GRC,Southern Europe,Europe,,,,,44.0,2000,7,,2000,7,,27.0,176.0,,,176.0,63.5495473431008,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",GR,GR,39.074208,21.824312,Greece,25,Millions,141247.276192,885.41040039,"Cereals, Total",38688,11082.0,25,25
69,25,2000-0379-GRC,2000,Heat wave,Greece,GRC,Southern Europe,Europe,,,,,44.0,2000,7,,2000,7,,27.0,176.0,,,176.0,63.5495473431008,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",GR,GR,39.074208,21.824312,Greece,25,Millions,141247.276192,885.41040039,Fruit Primary,164302,11082.0,25,25
70,25,2000-0379-GRC,2000,Heat wave,Greece,GRC,Southern Europe,Europe,,,,,44.0,2000,7,,2000,7,,27.0,176.0,,,176.0,63.5495473431008,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",GR,GR,39.074208,21.824312,Greece,25,Millions,141247.276192,885.41040039,"Milk, Total",1846,11082.0,25,25
71,25,2000-0379-GRC,2000,Heat wave,Greece,GRC,Southern Europe,Europe,,,,,44.0,2000,7,,2000,7,,27.0,176.0,,,176.0,63.5495473431008,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",GR,GR,39.074208,21.824312,Greece,25,Millions,141247.276192,885.41040039,Vegetables Primary,298026,11082.0,25,25
72,27,2000-0473-ISR,2000,Heat wave,Israel,ISR,Western Asia,Asia,,,,,45.0,2000,7,,2000,7,,,,,,,63.5495473431008,"Central District, Haifa, Jerusalem, Northern, Southern District, Tel Aviv provinces",IS,IS,64.963051,-19.020835,Iceland,27,Millions,540061.2,1513.94470215,"Cereals, Total",24433,5946.0,27,27
